frame,lmk_0_x,lmk_0_y,lmk_0_z,lmk_0_visibility,lmk_1_x,lmk_1_y,lmk_1_z,lmk_1_visibility,lmk_2_x,lmk_2_y,lmk_2_z,lmk_2_visibility,lmk_3_x,lmk_3_y,lmk_3_z,lmk_3_visibility,lmk_4_x,lmk_4_y,lmk_4_z,lmk_4_visibility,lmk_5_x,lmk_5_y,lmk_5_z,lmk_5_visibility,lmk_6_x,lmk_6_y,lmk_6_z,lmk_6_visibility,lmk_7_x,lmk_7_y,lmk_7_z,lmk_7_visibility,lmk_8_x,lmk_8_y,lmk_8_z,lmk_8_visibility,lmk_9_x,lmk_9_y,lmk_9_z,lmk_9_visibility,lmk_10_x,lmk_10_y,lmk_10_z,lmk_10_visibility,lmk_11_x,lmk_11_y,lmk_11_z,lmk_11_visibility,lmk_12_x,lmk_12_y,lmk_12_z,lmk_12_visibility,lmk_13_x,lmk_13_y,lmk_13_z,lmk_13_visibility,lmk_14_x,lmk_14_y,lmk_14_z,lmk_14_visibility,lmk_15_x,lmk_15_y,lmk_15_z,lmk_15_visibility,lmk_16_x,lmk_16_y,lmk_16_z,lmk_16_visibility,lmk_17_x,lmk_17_y,lmk_17_z,lmk_17_visibility,lmk_18_x,lmk_18_y,lmk_18_z,lmk_18_visibility,lmk_19_x,lmk_19_y,lmk_19_z,lmk_19_visibility,lmk_20_x,lmk_20_y,lmk_20_z,lmk_20_visibility,lmk_21_x,lmk_21_y,lmk_21_z,lmk_21_visibility,lmk_22_x,lmk_22_y,lmk_22_z,lmk_22_visibility,lmk_23_x,lmk_23_y,lmk_23_z,lmk_23_visibility,lmk_24_x,lmk_24_y,lmk_24_z,lmk_24_visibility,lmk_25_x,lmk_25_y,lmk_25_z,lmk_25_visibility,lmk_26_x,lmk_26_y,lmk_26_z,lmk_26_visibility,lmk_27_x,lmk_27_y,lmk_27_z,lmk_27_visibility,lmk_28_x,lmk_28_y,lmk_28_z,lmk_28_visibility,lmk_29_x,lmk_29_y,lmk_29_z,lmk_29_visibility,lmk_30_x,lmk_30_y,lmk_30_z,lmk_30_visibility,lmk_31_x,lmk_31_y,lmk_31_z,lmk_31_visibility,lmk_32_x,lmk_32_y,lmk_32_z,lmk_32_visibility
1,0.47625797986984253,0.19205176830291748,-0.38445958495140076,0.9998382329940796,0.477466881275177,0.17033898830413818,-0.36403408646583557,0.9996801614761353,0.4795955419540405,0.17039436101913452,-0.36412107944488525,0.9996337890625,0.48183903098106384,0.1703428328037262,-0.364216685295105,0.9996219873428345,0.4675179421901703,0.1697266399860382,-0.37800484895706177,0.9997000694274902,0.46239450573921204,0.16905441880226135,-0.37809962034225464,0.9996949434280396,0.4569820761680603,0.16819998621940613,-0.37822526693344116,0.9997265934944153,0.47836557030677795,0.1776551902294159,-0.2285982072353363,0.9994445443153381,0.44224485754966736,0.17645877599716187,-0.29001590609550476,0.9998300075531006,0.4791049063205719,0.21375077962875366,-0.3307603895664215,0.9999315738677979,0.466303288936615,0.2118261158466339,-0.348567396402359,0.9999551773071289,0.5100015997886658,0.32634463906288147,-0.09825870394706726,0.9998353719711304,0.3920530080795288,0.30778971314430237,-0.24337919056415558,0.999893307685852,0.5114699602127075,0.48376989364624023,-0.06748715043067932,0.9328893423080444,0.3924049735069275,0.48845401406288147,-0.2315782755613327,0.9949457049369812,0.5026198625564575,0.6091644763946533,-0.2320106029510498,0.8646071553230286,0.43150901794433594,0.630382239818573,-0.30393028259277344,0.9652796983718872,0.5030285716056824,0.6571925282478333,-0.2785097062587738,0.7933091521263123,0.4376566708087921,0.67433100938797,-0.3449134826660156,0.9213315844535828,0.4962807297706604,0.6470347046852112,-0.30888015031814575,0.8089009523391724,0.45279785990715027,0.6693335771560669,-0.3689820468425751,0.922003984451294,0.4937961995601654,0.6267755627632141,-0.2489340752363205,0.7946682572364807,0.4527190923690796,0.652783215045929,-0.31261101365089417,0.9027775526046753,0.470266729593277,0.6182488799095154,0.03863145038485527,0.9976568222045898,0.4061068892478943,0.6090439558029175,-0.03855186700820923,0.997654139995575,0.4676363170146942,0.856482744216919,0.021419592201709747,0.9002302289009094,0.3965962529182434,0.8547437191009521,-0.038988009095191956,0.911542534828186,0.46743661165237427,1.0278483629226685,0.25888800621032715,0.7695934772491455,0.3845211863517761,1.0163686275482178,0.16918030381202698,0.778978705406189,0.4638546109199524,1.067694902420044,0.27361544966697693,0.5128255486488342,0.37794259190559387,1.0729162693023682,0.18248233199119568,0.37087562680244446,0.4792487919330597,1.127697467803955,0.13571809232234955,0.6769677996635437,0.39286670088768005,1.1323028802871704,0.01975392736494541,0.6882458925247192
2,0.4763134717941284,0.18990865349769592,-0.3874909281730652,0.9998520016670227,0.4776409864425659,0.1691157966852188,-0.367640882730484,0.9997076988220215,0.48007404804229736,0.16934670507907867,-0.36771106719970703,0.9996656179428101,0.4825778603553772,0.16954977810382843,-0.3677905201911926,0.999654233455658,0.467496782541275,0.1679418683052063,-0.38014158606529236,0.9997254610061646,0.46231427788734436,0.16728396713733673,-0.38024038076400757,0.9997210502624512,0.45682886242866516,0.1665058434009552,-0.38033008575439453,0.9997493624687195,0.4792194962501526,0.17739206552505493,-0.2310364991426468,0.9994931221008301,0.44211599230766296,0.17532780766487122,-0.2888163924217224,0.9998442530632019,0.479648232460022,0.21320967376232147,-0.33326655626296997,0.9999372363090515,0.46635955572128296,0.21153759956359863,-0.34937843680381775,0.9999588131904602,0.5094898343086243,0.3241998255252838,-0.09822490811347961,0.9998440742492676,0.3920428156852722,0.3073674142360687,-0.24283593893051147,0.9998990297317505,0.5114015936851501,0.4828106462955475,-0.07439148426055908,0.9347568154335022,0.3932090103626251,0.4917054772377014,-0.22857174277305603,0.9951107501983643,0.5027974843978882,0.6007392406463623,-0.2656114995479584,0.8726814389228821,0.4349105954170227,0.6358962655067444,-0.3042612671852112,0.9668810367584229,0.5028171539306641,0.6491700410842896,-0.315867155790329,0.8048548698425293,0.44063523411750793,0.677378237247467,-0.3465973436832428,0.924919605255127,0.49638667702674866,0.6326156854629517,-0.348215252161026,0.8195363879203796,0.45386314392089844,0.6713420748710632,-0.36959055066108704,0.9256271719932556,0.4941261410713196,0.6163201332092285,-0.2838112413883209,0.8056440949440002,0.45349565148353577,0.6547660231590271,-0.3127661943435669,0.9073676466941833,0.47021329402923584,0.6185645461082458,0.03854357451200485,0.9977283477783203,0.4056549370288849,0.6102274060249329,-0.0384589321911335,0.9977586269378662,0.4680236876010895,0.8583357930183411,0.017242498695850372,0.9020443558692932,0.396426796913147,0.8550543189048767,-0.038018785417079926,0.9155147075653076,0.4663788080215454,1.016781210899353,0.27232348918914795,0.7646754384040833,0.3845173120498657,1.0302009582519531,0.15728667378425598,0.7851077914237976,0.46260011196136475,1.0629541873931885,0.29088303446769714,0.5118336081504822,0.37791940569877625,1.082595944404602,0.16939611732959747,0.3769630789756775,0.4802069067955017,1.1246459484100342,0.17246843874454498,0.6716453433036804,0.3966313302516937,1.1532888412475586,0.009972629137337208,0.6933021545410156
3,0.4764212369918823,0.18941067159175873,-0.3902435004711151,0.9998649954795837,0.47771376371383667,0.16882847249507904,-0.36975541710853577,0.9997330904006958,0.4802430272102356,0.16913364827632904,-0.3698071241378784,0.9996947646141052,0.48282402753829956,0.16940884292125702,-0.36985909938812256,0.9996837973594666,0.46749499440193176,0.16752581298351288,-0.3815251886844635,0.9997492432594299,0.46229857206344604,0.16690383851528168,-0.3816229999065399,0.9997454285621643,0.4567716419696808,0.1662452518939972,-0.3816971480846405,0.9997707605361938,0.479486882686615,0.17739060521125793,-0.23168356716632843,0.9995368719100952,0.4420383870601654,0.17532134056091309,-0.2876761257648468,0.9998571872711182,0.4801799952983856,0.21317271888256073,-0.3358680307865143,0.9999423623085022,0.4666709899902344,0.21159280836582184,-0.35100430250167847,0.9999621510505676,0.5094189643859863,0.3235688805580139,-0.09850875288248062,0.9998514652252197,0.3922269940376282,0.3073515295982361,-0.24189963936805725,0.9999033212661743,0.5108768939971924,0.48269179463386536,-0.057894833385944366,0.937801718711853,0.39352312684059143,0.4918176233768463,-0.22867685556411743,0.9952663779258728,0.5028557181358337,0.6057237386703491,-0.21612299978733063,0.882062554359436,0.43572720885276794,0.6378939747810364,-0.30826038122177124,0.9685258865356445,0.5027625560760498,0.6523817181587219,-0.26112234592437744,0.8180598020553589,0.440848708152771,0.678115725517273,-0.3514498472213745,0.9286161065101624,0.4963369071483612,0.6385749578475952,-0.2969260811805725,0.8316450119018555,0.4538564682006836,0.6720049381256104,-0.37347885966300964,0.9293041825294495,0.49411842226982117,0.6239535212516785,-0.23430876433849335,0.8183366656303406,0.45352908968925476,0.6556549668312073,-0.3165631592273712,0.9120670557022095,0.4712652266025543,0.620926558971405,0.03820275142788887,0.9978020787239075,0.4066864848136902,0.6131446957588196,-0.038099560886621475,0.9978919625282288,0.46836087107658386,0.8583704233169556,0.03135136514902115,0.906944990158081,0.3964167833328247,0.855355978012085,-0.03802412375807762,0.9213128685951233,0.4663362503051758,1.0049123764038086,0.30224859714508057,0.7709650993347168,0.3846307694911957,1.034429907798767,0.13870057463645935,0.797893762588501,0.4611271321773529,1.0502946376800537,0.32179540395736694,0.5265984535217285,0.3794723451137543,1.0827209949493408,0.1488858014345169,0.3962489664554596,0.4812576174736023,1.1135315895080566,0.20970112085342407,0.6799655556678772,0.39759179949760437,1.155022144317627,-0.009175708517432213,0.707383394241333
4,0.47701898217201233,0.1894494891166687,-0.40485334396362305,0.9998764395713806,0.4781267046928406,0.16906413435935974,-0.38460662961006165,0.999755322933197,0.4806753695011139,0.16942790150642395,-0.3846425712108612,0.9997202754020691,0.48322635889053345,0.16973930597305298,-0.3846735954284668,0.99970942735672,0.46783021092414856,0.16754643619060516,-0.3971928060054779,0.9997705221176147,0.46254777908325195,0.16691704094409943,-0.39730027318000793,0.9997673034667969,0.4569319188594818,0.16623403131961823,-0.39736035466194153,0.9997899532318115,0.47955450415611267,0.1776406317949295,-0.24485424160957336,0.9995740056037903,0.4420713484287262,0.17526847124099731,-0.30299705266952515,0.9998689889907837,0.4808886647224426,0.21357880532741547,-0.3498854339122772,0.9999465942382812,0.4673682749271393,0.21205386519432068,-0.36622947454452515,0.9999650716781616,0.5085121393203735,0.32306960225105286,-0.10449763387441635,0.9998562335968018,0.39222919940948486,0.30706173181533813,-0.259457528591156,0.9999088048934937,0.5107954740524292,0.48265719413757324,-0.053324948996305466,0.9395230412483215,0.3939415514469147,0.4935799539089203,-0.24871180951595306,0.9954661130905151,0.5033189058303833,0.6069063544273376,-0.19912271201610565,0.8887233734130859,0.4361478388309479,0.6438854932785034,-0.3261304795742035,0.9700112342834473,0.5027688145637512,0.6525596380233765,-0.24151886999607086,0.8267818093299866,0.44121044874191284,0.683353841304779,-0.36910563707351685,0.9318337440490723,0.49641120433807373,0.6397765278816223,-0.27702072262763977,0.8396152257919312,0.4538480341434479,0.6765483021736145,-0.39061635732650757,0.9325244426727295,0.49432918429374695,0.6248248219490051,-0.2171223759651184,0.826677143573761,0.45359718799591064,0.6597090363502502,-0.33406543731689453,0.9162041544914246,0.4712536633014679,0.6229890584945679,0.04036559909582138,0.9978421330451965,0.4067267179489136,0.6174367666244507,-0.04025531932711601,0.9980117678642273,0.46921154856681824,0.8582842946052551,0.06217984855175018,0.9095368981361389,0.3964148759841919,0.8573085069656372,-0.040575843304395676,0.9260281920433044,0.4663897156715393,1.006060004234314,0.304829478263855,0.7777924537658691,0.38478022813796997,1.0400334596633911,0.11680131405591965,0.808484673500061,0.4607645869255066,1.0515925884246826,0.32126858830451965,0.5427363514900208,0.37996119260787964,1.0866997241973877,0.12505176663398743,0.41312673687934875,0.4844227433204651,1.1147373914718628,0.2051849365234375,0.6888218522071838,0.39995554089546204,1.1594069004058838,-0.03486302122473717,0.7187116146087646
5,0.4770844578742981,0.19005897641181946,-0.41104811429977417,0.9998870491981506,0.47821396589279175,0.1694638431072235,-0.39155688881874084,0.9997757077217102,0.4808081388473511,0.16987650096416473,-0.3915868401527405,0.9997437000274658,0.4833981394767761,0.17023999989032745,-0.39161884784698486,0.9997332096099854,0.4678410589694977,0.1677054464817047,-0.4034024775028229,0.9997897148132324,0.4625542461872101,0.16702185571193695,-0.4035082757472992,0.9997870922088623,0.45693692564964294,0.166283518075943,-0.40356191992759705,0.9998072981834412,0.4796196520328522,0.17831633985042572,-0.25672298669815063,0.9996088743209839,0.44210270047187805,0.17531424760818481,-0.31103086471557617,0.9998794794082642,0.4809436500072479,0.21427160501480103,-0.3580106496810913,0.9999507069587708,0.46743959188461304,0.21269050240516663,-0.37342074513435364,0.9999677538871765,0.5077465772628784,0.3230830729007721,-0.12066654860973358,0.9998636245727539,0.3920828402042389,0.3072933256626129,-0.26717039942741394,0.9999129176139832,0.5107965469360352,0.484780490398407,-0.054935626685619354,0.9425186514854431,0.3941291272640228,0.4987950026988983,-0.253991961479187,0.9956311583518982,0.5040972828865051,0.6168777942657471,-0.17911554872989655,0.8963415622711182,0.4360828101634979,0.6488741040229797,-0.3273012042045593,0.9713094234466553,0.5030347108840942,0.6581964492797852,-0.21837124228477478,0.8370447158813477,0.4411371052265167,0.6889073252677917,-0.3689850866794586,0.934656023979187,0.49640071392059326,0.6521080732345581,-0.2528567910194397,0.8490546345710754,0.45329952239990234,0.6838513612747192,-0.39116936922073364,0.9353606700897217,0.4943341016769409,0.6375920176506042,-0.1959620863199234,0.8367017507553101,0.4533270299434662,0.6667728424072266,-0.33559805154800415,0.9200897216796875,0.47124427556991577,0.624333381652832,0.04031738266348839,0.9979178309440613,0.40672358870506287,0.6197464466094971,-0.040208861231803894,0.9981191754341125,0.4696542024612427,0.8573294878005981,0.05054885894060135,0.9116264581680298,0.3964442014694214,0.8588523268699646,-0.0396566279232502,0.9294280409812927,0.4663084149360657,1.0077885389328003,0.2957342565059662,0.7822151780128479,0.384734183549881,1.0422053337097168,0.12996341288089752,0.816202700138092,0.4602934718132019,1.0520782470703125,0.31253883242607117,0.5533602237701416,0.37942686676979065,1.0861858129501343,0.1398947536945343,0.42646607756614685,0.4851866662502289,1.114854335784912,0.18807260692119598,0.6935294270515442,0.39962083101272583,1.158463478088379,-0.018665436655282974,0.7258016467094421
6,0.4771308898925781,0.19036445021629333,-0.4343016743659973,0.999896764755249,0.47836700081825256,0.16984206438064575,-0.41476669907569885,0.9997944831848145,0.48107293248176575,0.17028962075710297,-0.41478967666625977,0.9997652173042297,0.48374712467193604,0.17069672048091888,-0.4148205518722534,0.9997552037239075,0.46784117817878723,0.16790974140167236,-0.42626285552978516,0.9998072385787964,0.46253886818885803,0.16716253757476807,-0.4263763725757599,0.9998051524162292,0.45689165592193604,0.1663474142551422,-0.4264264702796936,0.9998230934143066,0.4798803925514221,0.17871230840682983,-0.2793225646018982,0.9996410012245178,0.44209524989128113,0.1753239631652832,-0.33155691623687744,0.9998888969421387,0.48102453351020813,0.214787095785141,-0.38104215264320374,0.9999544024467468,0.4674621820449829,0.2130715399980545,-0.39594826102256775,0.9999701380729675,0.5067235231399536,0.3230845034122467,-0.13975414633750916,0.9998701810836792,0.3920827805995941,0.30776575207710266,-0.2859550714492798,0.9999148845672607,0.5109072327613831,0.4851025640964508,-0.07154610008001328,0.9456336498260498,0.39426925778388977,0.5036724209785461,-0.27221736311912537,0.9957470893859863,0.5084863305091858,0.6195890307426453,-0.19130611419677734,0.9035937190055847,0.435403972864151,0.6552755236625671,-0.3403896391391754,0.9722288250923157,0.5069597959518433,0.6589887738227844,-0.22974692285060883,0.8465026617050171,0.4408971965312958,0.6984176635742188,-0.3806314766407013,0.9364662170410156,0.49930426478385925,0.6537174582481384,-0.2639561593532562,0.8577428460121155,0.45231544971466064,0.6939506530761719,-0.4033415913581848,0.9371927380561829,0.49725815653800964,0.6401607394218445,-0.20811252295970917,0.8459852933883667,0.4525700807571411,0.6768798828125,-0.3488749861717224,0.9228739142417908,0.46969470381736755,0.6240094304084778,0.04007387161254883,0.9979685544967651,0.4053102433681488,0.6196578145027161,-0.039970092475414276,0.9981862902641296,0.4696696400642395,0.8572584986686707,0.027596814557909966,0.9141531586647034,0.3962251543998718,0.8589659929275513,-0.04278875142335892,0.9325870871543884,0.466376930475235,1.0104113817214966,0.24481889605522156,0.7873349189758301,0.38107696175575256,1.0649906396865845,0.12149480730295181,0.8243774771690369,0.4603177309036255,1.0604400634765625,0.2581522762775421,0.560126781463623,0.376569002866745,1.0904179811477661,0.13040851056575775,0.43744608759880066,0.4866800606250763,1.1226078271865845,0.13904981315135956,0.6982359290122986,0.39814674854278564,1.1641817092895508,-0.02852753736078739,0.7338076829910278
7,0.47754907608032227,0.19098447263240814,-0.4233857989311218,0.9999060034751892,0.47890186309814453,0.17005005478858948,-0.4033374786376953,0.9998127818107605,0.481696754693985,0.17054367065429688,-0.4033893048763275,0.9997861981391907,0.4843505322933197,0.17103080451488495,-0.40345627069473267,0.9997767806053162,0.46803411841392517,0.16802719235420227,-0.4155263304710388,0.9998245239257812,0.46258801221847534,0.16724877059459686,-0.41562312841415405,0.9998227953910828,0.45688897371292114,0.1663743257522583,-0.41572099924087524,0.9998388290405273,0.480150431394577,0.1792973130941391,-0.2660219073295593,0.999672532081604,0.4420742094516754,0.17536553740501404,-0.3205440640449524,0.9998987913131714,0.48141926527023315,0.21567152440547943,-0.36870110034942627,0.9999580979347229,0.4675901532173157,0.2137865573167801,-0.3842824101448059,0.9999725818634033,0.5055574774742126,0.3232956528663635,-0.12899957597255707,0.9998751282691956,0.39199894666671753,0.3083359897136688,-0.27884185314178467,0.9999196529388428,0.5120388865470886,0.48549020290374756,-0.0683366060256958,0.9478417038917542,0.393962025642395,0.5053895115852356,-0.26901742815971375,0.9959279894828796,0.5142596960067749,0.6210871338844299,-0.18784648180007935,0.9095357060432434,0.4318210184574127,0.6594349145889282,-0.33676865696907043,0.9733255505561829,0.5131714344024658,0.6591616868972778,-0.22670625150203705,0.8543112277984619,0.4378838539123535,0.7022993564605713,-0.3768584132194519,0.9388221502304077,0.5057831406593323,0.6547346115112305,-0.2607043385505676,0.865041196346283,0.44925546646118164,0.6964529752731323,-0.4001339375972748,0.9396092891693115,0.5029363036155701,0.6415432095527649,-0.2048804759979248,0.8538963198661804,0.44979456067085266,0.6796912550926208,-0.34544095396995544,0.9261707067489624,0.4672633707523346,0.6262109875679016,0.043809764087200165,0.9979766011238098,0.4045964777469635,0.6224278211593628,-0.043716903775930405,0.9982519149780273,0.4701555073261261,0.8573948740959167,0.05347057431936264,0.9089617729187012,0.3948916494846344,0.8609941005706787,-0.04343147203326225,0.9346491694450378,0.4665951132774353,1.0195761919021606,0.24383796751499176,0.7827790975570679,0.3805847764015198,1.0617035627365112,0.08763241767883301,0.8276253342628479,0.4589962661266327,1.079057216644287,0.2548792064189911,0.5681250095367432,0.37050706148147583,1.1030707359313965,0.0931868925690651,0.444162517786026,0.49219828844070435,1.1271263360977173,0.1439574807882309,0.6947916150093079,0.39805084466934204,1.1717016696929932,-0.057184379547834396,0.7341204285621643
8,0.47833436727523804,0.19153110682964325,-0.4171963334083557,0.9999141693115234,0.47935816645622253,0.1702413111925125,-0.3970818519592285,0.9998288750648499,0.48206624388694763,0.17075853049755096,-0.39713016152381897,0.9998044371604919,0.4845856726169586,0.17128516733646393,-0.39718422293663025,0.9997954964637756,0.46843332052230835,0.1681465357542038,-0.4099823236465454,0.9998400807380676,0.4628131091594696,0.16734403371810913,-0.41008490324020386,0.9998385310173035,0.4569777250289917,0.16645289957523346,-0.4101622700691223,0.9998529553413391,0.4801167845726013,0.17966260015964508,-0.2606644928455353,0.9996994733810425,0.4420737326145172,0.17554572224617004,-0.3208145797252655,0.9999076724052429,0.4817645251750946,0.2164493352174759,-0.36344897747039795,0.9999611973762512,0.4680097699165344,0.2147408127784729,-0.3803550601005554,0.99997478723526,0.5049275159835815,0.32440757751464844,-0.12490251660346985,0.9998764991760254,0.39183080196380615,0.30885782837867737,-0.28483057022094727,0.999924898147583,0.5161439180374146,0.4859967827796936,-0.06813455373048782,0.9490171670913696,0.3914141356945038,0.5047321319580078,-0.2791089117527008,0.9961348176002502,0.5242404937744141,0.620475709438324,-0.19493235647678375,0.9143137335777283,0.42469140887260437,0.6601853370666504,-0.34798142313957214,0.9747185707092285,0.5258104205131531,0.6584204435348511,-0.23531220853328705,0.8604496717453003,0.4293053448200226,0.7041435241699219,-0.3885740637779236,0.9418282508850098,0.5192100405693054,0.6545815467834473,-0.2692849934101105,0.8708111047744751,0.442529559135437,0.6976275444030762,-0.41322168707847595,0.9426276683807373,0.5148475766181946,0.6413857936859131,-0.21210676431655884,0.8603622913360596,0.4426232874393463,0.6807242035865784,-0.35732996463775635,0.9300476908683777,0.4665422737598419,0.6281914114952087,0.047026850283145905,0.9979338049888611,0.40413352847099304,0.626803994178772,-0.046948958188295364,0.9983052611351013,0.4707053601741791,0.8574807643890381,0.08593998849391937,0.9033376574516296,0.3945278823375702,0.8627878427505493,-0.028915291652083397,0.9370961785316467,0.4666423499584198,1.0197713375091553,0.26693278551101685,0.7794933319091797,0.3807204067707062,1.063248872756958,0.10609543323516846,0.8319884538650513,0.45701858401298523,1.0803544521331787,0.27581530809402466,0.5803117752075195,0.3711024820804596,1.1057507991790771,0.11597450077533722,0.4544578790664673,0.49642112851142883,1.1256883144378662,0.17601734399795532,0.6957067251205444,0.4011062681674957,1.172851800918579,-0.048169732093811035,0.7368343472480774
9,0.4783480763435364,0.19332055747509003,-0.41670048236846924,0.9999222159385681,0.4794476628303528,0.17122000455856323,-0.39498957991600037,0.9998447895050049,0.4821651577949524,0.17187760770320892,-0.3950042724609375,0.9998225569725037,0.4846753180027008,0.172581747174263,-0.39497870206832886,0.9998143315315247,0.46849459409713745,0.16873952746391296,-0.40909281373023987,0.9998551607131958,0.46283215284347534,0.1678193062543869,-0.40916380286216736,0.9998537302017212,0.4569777846336365,0.16686590015888214,-0.4091620445251465,0.9998666644096375,0.4801201820373535,0.18164995312690735,-0.2579074800014496,0.9997268319129944,0.44201138615608215,0.1761576533317566,-0.3173787295818329,0.999916136264801,0.4817475974559784,0.21838833391666412,-0.3613704741001129,0.9999645948410034,0.46800917387008667,0.21659541130065918,-0.377517431974411,0.9999770522117615,0.504828929901123,0.3264487087726593,-0.12407167255878448,0.9998815059661865,0.3912931978702545,0.3122425079345703,-0.2785254418849945,0.9999294877052307,0.5209574103355408,0.48592686653137207,-0.06995964050292969,0.9512519836425781,0.3871379494667053,0.5042029023170471,-0.2710120975971222,0.9962372183799744,0.5363277196884155,0.6191679239273071,-0.20737667381763458,0.9201510548591614,0.4124199151992798,0.6606024503707886,-0.34475037455558777,0.9757413268089294,0.5443016886711121,0.6558015942573547,-0.2462797611951828,0.868693470954895,0.4135279059410095,0.7042264342308044,-0.38536936044692993,0.9442967772483826,0.539883553981781,0.6538788676261902,-0.2844119966030121,0.8784140944480896,0.42644718289375305,0.6980841755867004,-0.412002831697464,0.9451344013214111,0.5337995886802673,0.6411000490188599,-0.22674377262592316,0.8687868118286133,0.4267341196537018,0.681256890296936,-0.35533827543258667,0.9333937168121338,0.4666443169116974,0.6314295530319214,0.04640164226293564,0.9979773163795471,0.4040144383907318,0.6313120722770691,-0.04632250592112541,0.9984021782875061,0.4706985056400299,0.8576273918151855,0.10478521883487701,0.9070795178413391,0.39457419514656067,0.8626738786697388,-0.015454346314072609,0.9417733550071716,0.4666816294193268,1.014112114906311,0.33814340829849243,0.7872714400291443,0.38363704085350037,1.068416953086853,0.12417517602443695,0.8429237604141235,0.4555054008960724,1.0588215589523315,0.35458147525787354,0.5987663269042969,0.38238680362701416,1.0923351049423218,0.13166439533233643,0.4752485454082489,0.4834041893482208,1.1094614267349243,0.2606339752674103,0.7080264687538147,0.40552398562431335,1.1716015338897705,-0.012139827013015747,0.7503340840339661
10,0.478223979473114,0.19415132701396942,-0.4096062481403351,0.9999297261238098,0.47935888171195984,0.17181605100631714,-0.3843582570552826,0.9998597502708435,0.4820464849472046,0.17255620658397675,-0.38436204195022583,0.9998396039009094,0.4845465421676636,0.1733759194612503,-0.38433027267456055,0.9998320937156677,0.46841368079185486,0.1691388189792633,-0.4002886116504669,0.999869167804718,0.46274006366729736,0.16819214820861816,-0.4003433585166931,0.9998679161071777,0.4568621814250946,0.16723820567131042,-0.4003047049045563,0.9998794198036194,0.4799673855304718,0.18309669196605682,-0.2362046241760254,0.9997528791427612,0.4418697655200958,0.1769539713859558,-0.30792078375816345,0.9999241232872009,0.481419175863266,0.21925121545791626,-0.3524240255355835,0.9999678730964661,0.4679020941257477,0.21738937497138977,-0.3724516034126282,0.9999791979789734,0.5038120150566101,0.328255295753479,-0.10136187821626663,0.9998894333839417,0.3910990059375763,0.31374591588974,-0.2619481682777405,0.9999340772628784,0.5247469544410706,0.48207199573516846,-0.029679782688617706,0.9544579982757568,0.3822535574436188,0.5003074407577515,-0.2504175901412964,0.9963396787643433,0.547920823097229,0.6050827503204346,-0.1782195121049881,0.926835834980011,0.4029730558395386,0.6600639820098877,-0.33784931898117065,0.9769782423973083,0.5588113069534302,0.6397581100463867,-0.21681366860866547,0.8787173628807068,0.4019404947757721,0.7039247751235962,-0.3778679072856903,0.9471457600593567,0.5550315380096436,0.6380249857902527,-0.2597384452819824,0.8877668380737305,0.414960652589798,0.696609377861023,-0.4081776440143585,0.9480392336845398,0.5483101010322571,0.622189462184906,-0.19980129599571228,0.8788771033287048,0.4153512120246887,0.6798222661018372,-0.35383930802345276,0.9369931221008301,0.4667277932167053,0.6310232281684875,0.046719662845134735,0.9980461597442627,0.4039992392063141,0.630805492401123,-0.04663848876953125,0.9985076785087585,0.4708884358406067,0.8559020161628723,0.09581707417964935,0.910836398601532,0.3945949673652649,0.8635154962539673,-0.032012976706027985,0.9458721876144409,0.4667099118232727,1.00960373878479,0.36370041966438293,0.7899338603019714,0.3846694827079773,1.0702911615371704,0.09519048035144806,0.8523961901664734,0.4557470977306366,1.0413055419921875,0.38397109508514404,0.6099978685379028,0.38299328088760376,1.0938893556594849,0.10141858458518982,0.48825889825820923,0.48502057790756226,1.0968376398086548,0.2912500500679016,0.7133868932723999,0.4049711227416992,1.1723120212554932,-0.05195946246385574,0.7615477442741394
